"Player","Team","TACKLE","ASSIST","SACK","PD","INT","FF","FR","TD","FPTS"
"Roger McCreary","DET","2.6","0.7","0.1","0.2","0.1","0.0","0.0","0.0","5.5"
"AJ Haulcy","IND","2.8","1.0","0.0","0.2","0.0","0.0","0.0","0.0","5.5"
"Chau Smith-Wade","CAR","2.9","0.7","0.0","0.2","0.1","0.0","0.0","0.0","5.5"
"James Pierre","MIN","2.2","0.7","0.0","0.6","0.1","0.0","0.0","0.0","5.4"
"Dru Phillips","NYG","2.4","0.8","0.0","0.5","0.1","0.0","0.0","0.0","5.4"
"Cor'Dale Flott","TEN","2.2","0.7","0.0","0.6","0.1","0.1","0.0","0.0","5.4"
"Avonte Maddox","DET","2.3","0.8","0.0","0.3","0.1","0.0","0.0","0.0","5.2"
"Denzel Ward","CLE","2.1","0.5","0.0","0.6","0.1","0.0","0.0","0.0","5.2"
"Charvarius Ward","IND","2.1","0.7","0.0","0.7","0.1","0.0","0.0","0.0","5.1"
"Greg Newsome II","NYG","2.3","0.7","0.0","0.5","0.1","0.0","0.0","0.0","5.1"
"Jonathan Owens","IND","2.5","0.9","0.1","0.1","0.0","0.0","0.0","0.0","5.1"
"Malik Hooker","DAL","2.4","1.2","0.0","0.1","0.1","0.0","0.0","0.0","5.1"
"Kader Kohou","KC","2.2","0.6","0.0","0.4","0.1","0.1","0.0","0.0","5.1"
"Donte Jackson","LAC","1.7","0.7","0.0","0.7","0.2","0.0","0.0","0.0","5.0"
"Marcus Epps","PHI","2.6","1.0","0.0","0.1","0.0","0.0","0.0","0.0","4.9"
"Benjamin Morrison","TB","2.1","0.6","0.0","0.5","0.1","0.1","0.0","0.0","4.9"
"Michael Taaffe","MIA","2.4","0.9","0.0","0.2","0.1","0.0","0.0","0.0","4.9"
"Chidobe Awuzie","BAL","2.2","0.6","0.0","0.4","0.1","0.0","0.0","0.0","4.9"
"Kyler Gordon","CHI","2.2","0.9","0.0","0.1","0.0","0.0","0.0","0.0","4.9"
"Lathan Ransom","CAR","2.1","1.1","0.0","0.1","0.0","0.0","0.0","0.0","4.8"
"Jahdae Barron","DEN","2.1","0.7","0.0","0.3","0.1","0.0","0.0","0.0","4.8"
"Jason Pinnock","NYG","2.5","0.9","0.0","0.0","0.0","0.0","0.0","0.0","4.7"
"Storm Duck","MIA","2.1","0.6","0.0","0.3","0.1","0.0","0.0","0.0","4.6"
"Kyle Dugger","CIN","2.2","1.1","0.0","0.1","0.0","0.0","0.0","0.0","4.6"
"Tony Jefferson II","LAC","2.3","0.6","0.0","0.3","0.0","0.0","0.0","0.0","4.6"
"Christian Izien","DET","2.1","0.9","0.0","0.1","0.0","0.1","0.0","0.0","4.6"
"Malachi Moore","NYJ","2.3","0.8","0.0","0.1","0.0","0.0","0.0","0.0","4.4"
"Kitan Oladapo","GB","2.1","0.8","0.0","0.2","0.0","0.0","0.0","0.0","4.3"
"Billy Bowman Jr.","ATL","1.6","0.8","0.1","0.2","0.1","0.0","0.0","0.0","4.3"
"Sean Murphy-Bunting","ARI","1.8","0.7","0.0","0.3","0.1","0.1","0.0","0.0","4.3"
"RJ Mickens","LAC","2.1","0.8","0.0","0.2","0.0","0.0","0.0","0.0","4.3"
"Jarrian Jones","JAC","1.9","0.5","0.0","0.4","0.0","0.0","0.0","0.0","4.1"
"Jaylen McCollough","LAR","1.8","0.7","0.0","0.2","0.1","0.0","0.0","0.0","4.0"
"Ar'Darius Washington","NYG","1.8","0.6","0.0","0.2","0.1","0.0","0.0","0.0","4.0"
"D'Angelo Ponds","NYJ","1.8","0.7","0.0","0.3","0.1","0.0","0.0","0.0","4.0"
"Jaden Hicks","KC","1.8","0.7","0.0","0.2","0.1","0.0","0.0","0.0","4.0"
"Lonnie Johnson Jr.","MIA","1.9","0.7","0.0","0.2","0.1","0.0","0.0","0.0","3.9"
"Myles Harden","CLE","1.9","0.7","0.0","0.2","0.0","0.0","0.0","0.0","3.9"
"Jermod McCoy","LV","1.5","0.6","0.0","0.3","0.1","0.0","0.0","0.0","3.9"
"Brian Branch","DET","1.6","0.7","0.0","0.2","0.0","0.0","0.0","0.0","3.8"
"Colton Hood","NYG","1.9","0.6","0.0","0.3","0.0","0.0","0.0","0.0","3.8"
"Marte Mapu","HOU","1.5","0.7","0.0","0.3","0.1","0.0","0.0","0.0","3.8"
"Quincy Riley","NO","1.5","0.4","0.0","0.4","0.1","0.0","0.0","0.0","3.7"
"Shavon Revel Jr.","DAL","1.8","0.6","0.0","0.2","0.0","0.0","0.0","0.0","3.7"
"Darrell Baker Jr.","MIA","1.8","0.5","0.0","0.3","0.0","0.0","0.0","0.0","3.7"
"Azareye'h Thomas","NYJ","1.6","0.5","0.0","0.4","0.1","0.0","0.0","0.0","3.7"
"Max Melton","ARI","1.7","0.5","0.0","0.3","0.0","0.0","0.0","0.0","3.6"
"Emmanuel McNeil-Warren","CLE","1.8","0.6","0.0","0.1","0.0","0.0","0.0","0.0","3.5"
"Justin Walley","IND","1.4","0.6","0.0","0.3","0.0","0.0","0.0","0.0","3.5"
"Carrington Valentine","GB","1.5","0.6","0.0","0.3","0.1","0.0","0.0","0.0","3.5"
"Darien Porter","LV","1.7","0.7","0.0","0.2","0.0","0.0","0.0","0.0","3.4"
"Jaylon Jones","CHI","1.6","0.4","0.0","0.2","0.0","0.0","0.0","0.0","3.4"
"Jalon Kilgore","BUF","1.6","0.9","0.0","0.1","0.0","0.0","0.0","0.0","3.3"
"Jalen Huskey","JAC","1.5","0.8","0.0","0.1","0.0","0.0","0.0","0.0","3.3"
"Kendal Daniels","ATL","1.6","0.7","0.0","0.1","0.0","0.0","0.0","0.0","3.3"
"Juanyeh Thomas","IND","1.5","0.9","0.0","0.1","0.0","0.0","0.0","0.0","3.2"
"Malik Muhammad II","CHI","1.6","0.5","0.0","0.2","0.0","0.0","0.0","0.0","3.2"
"Jay Ward","MIN","1.6","0.7","0.0","0.1","0.0","0.0","0.0","0.0","3.0"
"Bud Clark","SEA","1.4","0.5","0.0","0.1","0.0","0.0","0.0","0.0","2.9"
"Garrett Williams","ARI","1.3","0.7","0.0","0.1","0.0","0.0","0.0","0.0","2.9"
"Kristian Fulton","KC","1.3","0.5","0.0","0.2","0.1","0.0","0.0","0.0","2.9"
"Dell Pettus","NE","1.3","0.5","0.0","0.2","0.0","0.0","0.0","0.0","2.8"
"Davison Igbinosun","BUF","1.3","0.5","0.0","0.2","0.0","0.0","0.0","0.0","2.8"
"Starling Thomas V","ARI","1.5","0.4","0.0","0.2","0.0","0.0","0.0","0.0","2.7"
"Myles Bryant","CLE","1.4","0.5","0.0","0.1","0.0","0.0","0.0","0.0","2.7"
"Tacario Davis","CIN","1.2","0.3","0.0","0.2","0.0","0.0","0.0","0.0","2.7"
"Nate Hobbs","SF","1.4","0.5","0.0","0.1","0.0","0.0","0.0","0.0","2.7"
"Josh Newton","CIN","1.2","0.4","0.0","0.3","0.0","0.0","0.0","0.0","2.6"
"Julian Neal","SEA","1.2","0.3","0.0","0.2","0.0","0.0","0.0","0.0","2.6"
"Jordan Howden","NO","1.2","0.5","0.0","0.1","0.0","0.0","0.0","0.0","2.4"
"Ifeatu Melifonwu","TB","1.2","0.4","0.0","0.0","0.0","0.0","0.0","0.0","2.4"
"Darnay Holmes","ATL","1.2","0.3","0.0","0.1","0.0","0.0","0.0","0.0","2.4"
"Jordan Hancock","BUF","1.1","0.4","0.0","0.1","0.0","0.0","0.0","0.0","2.3"
"Brandon Cisse","GB","1.1","0.5","0.0","0.1","0.0","0.0","0.0","0.0","2.3"
"Deane Leonard","LAC","1.0","0.3","0.0","0.2","0.0","0.0","0.0","0.0","2.2"
"Keionte Scott","TB","1.0","0.5","0.0","0.1","0.0","0.0","0.0","0.0","2.1"
"Amik Robertson","WAS","0.9","0.2","0.0","0.2","0.0","0.0","0.0","0.0","2.0"
"Jalen Davis","CIN","1.0","0.3","0.0","0.1","0.0","0.0","0.0","0.0","2.0"
"Ennis Rakestraw Jr.","DET","0.9","0.3","0.0","0.1","0.0","0.0","0.0","0.0","2.0"
"Noah Igbinoghene","SEA","0.9","0.3","0.0","0.2","0.0","0.0","0.0","0.0","2.0"
"Asante Samuel Jr.","PIT","1.0","0.3","0.0","0.1","0.0","0.0","0.0","0.0","2.0"
"Benjamin St-Juste","GB","0.8","0.2","0.0","0.2","0.0","0.0","0.0","0.0","1.9"
"Sydney Brown","ATL","0.9","0.3","0.0","0.1","0.0","0.0","0.0","0.0","1.8"
"Dane Belton","NYJ","0.8","0.3","0.0","0.1","0.0","0.0","0.0","0.0","1.8"
"Josh Blackwell","CHI","0.7","0.2","0.0","0.1","0.0","0.0","0.0","0.0","1.7"
"Natrone Brooks","ATL","0.7","0.2","0.0","0.2","0.0","0.0","0.0","0.0","1.7"
"Marques Sigle","SF","0.9","0.3","0.0","0.0","0.0","0.0","0.0","0.0","1.7"
"P.J. Locke","DAL","0.7","0.3","0.0","0.1","0.0","0.0","0.0","0.0","1.6"
"Jaylin Smith","HOU","0.8","0.2","0.0","0.1","0.0","0.0","0.0","0.0","1.6"
"Emmanuel Forbes Jr.","LAR","0.6","0.2","0.0","0.2","0.0","0.0","0.0","0.0","1.6"
"Jonathan Jones","PHI","0.8","0.2","0.0","0.1","0.0","0.0","0.0","0.0","1.5"
"Johnathan Edwards","IND","0.7","0.2","0.0","0.1","0.0","0.0","0.0","0.0","1.5"
"Ja'Sir Taylor","CIN","0.7","0.4","0.0","0.1","0.0","0.0","0.0","0.0","1.5"
"James Williams Sr.","TEN","0.7","0.3","0.0","0.0","0.0","0.0","0.0","0.0","1.4"
"Jeremy Reaves","WAS","0.7","0.3","0.0","0.1","0.0","0.0","0.0","0.0","1.4"
"Corey Thornton","CAR","0.6","0.2","0.0","0.1","0.0","0.0","0.0","0.0","1.4"
"Devon Key","DEN","0.7","0.3","0.0","0.1","0.0","0.0","0.0","0.0","1.4"
"D'Anthony Bell","SEA","0.6","0.2","0.0","0.1","0.0","0.0","0.0","0.0","1.3"
"Derion Kendrick","DAL","0.5","0.2","0.0","0.2","0.0","0.0","0.0","0.0","1.3"
"Percy Butler","WAS","0.6","0.2","0.0","0.1","0.0","0.0","0.0","0.0","1.3"
"Rayshawn Jenkins","PIT","0.6","0.2","0.0","0.0","0.0","0.0","0.0","0.0","1.3"
"Jakobe Thomas","MIN","0.6","0.2","0.0","0.1","0.0","0.0","0.0","0.0","1.2"
