"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"CJ Daniels","LAR","0.5","6.5","0.0","0.0","0.1","0.0","0.0","1.1"
"Christian Kirk","SF","0.6","7.1","0.0","0.0","0.1","0.0","0.0","1.1"
"Jordan Whittington","LAR","0.5","5.8","0.0","0.1","0.5","0.0","0.0","1.0"
"Tai Felton","MIN","0.6","6.0","0.0","0.0","0.1","0.0","0.0","1.0"
"Kyle Williams","NE","0.4","5.1","0.0","0.1","0.6","0.0","0.0","1.0"
"Bo Melton","GB","0.4","5.3","0.0","0.2","0.8","0.0","0.0","1.0"
"Jalen Royals","KC","0.5","5.6","0.0","0.0","0.1","0.0","0.0","1.0"
"Ben Skowronek","PIT","0.4","4.5","0.1","0.0","0.0","0.0","0.0","1.0"
"Deion Burks","IND","0.5","5.7","0.0","0.0","0.0","0.0","0.0","0.9"
"Odell Beckham Jr.","NYG","0.4","5.2","0.0","0.0","0.0","0.0","0.0","0.8"
"Luke McCaffrey","WAS","0.5","5.5","0.0","0.0","0.0","0.0","0.0","0.8"
"KeAndre Lambert-Smith","LAC","0.4","4.4","0.0","0.0","0.1","0.0","0.0","0.8"
"Mitch Tinsley","CIN","0.3","4.4","0.0","0.0","0.0","0.0","0.0","0.7"
"Cedric Tillman","CLE","0.4","4.2","0.0","0.0","0.0","0.0","0.0","0.7"
"Xavier Smith","LAR","0.3","4.0","0.0","0.0","0.2","0.0","0.0","0.7"
"Marquez Valdes-Scantling","DAL","0.3","4.2","0.0","0.0","0.2","0.0","0.0","0.7"
"Josh Cameron","JAC","0.3","3.1","0.0","0.1","0.4","0.0","0.0","0.6"
"Jonathan Mingo","DAL","0.3","3.7","0.0","0.0","0.0","0.0","0.0","0.6"
"Dont'e Thornton Jr.","LV","0.3","3.8","0.0","0.0","0.0","0.0","0.0","0.6"
"Tim Patrick","NYJ","0.3","3.7","0.0","0.0","0.0","0.0","0.0","0.6"
"Malachi Corley","CLE","0.1","1.4","0.0","0.4","2.5","0.0","0.0","0.5"
"Kevin Austin Jr.","NO","0.3","2.7","0.0","0.0","0.1","0.0","0.0","0.5"
"Lewis Bond","HOU","0.2","2.6","0.0","0.0","0.0","0.0","0.0","0.4"
"Brycen Tremayne","CAR","0.2","2.2","0.0","0.0","0.0","0.0","0.0","0.4"
"Kaden Wetjen","PIT","0.2","2.3","0.0","0.1","0.4","0.0","0.0","0.4"
"Reggie Virgil","ARI","0.2","2.3","0.0","0.0","0.0","0.0","0.0","0.4"
"Darius Cooper","PHI","0.2","1.8","0.0","0.0","0.0","0.0","0.0","0.3"
"Derius Davis","LAC","0.1","1.3","0.0","0.1","0.7","0.0","0.0","0.3"
"Isaiah Hodgins","NYG","0.1","1.5","0.0","0.0","0.0","0.0","0.0","0.3"
"David Sills V","TB","0.1","1.5","0.0","0.0","0.0","0.0","0.0","0.3"
"Jalen Brooks","ARI","0.1","1.8","0.0","0.0","0.0","0.0","0.0","0.3"
"Kameron Johnson","TB","0.1","1.2","0.0","0.1","0.4","0.0","0.0","0.3"
"Cody White","SEA","0.1","1.6","0.0","0.0","0.0","0.0","0.0","0.2"
"Xavier Restrepo","TEN","0.1","1.4","0.0","0.0","0.1","0.0","0.0","0.2"
"Tylan Wallace","CLE","0.1","1.3","0.0","0.0","0.0","0.0","0.0","0.2"
"Arian Smith","NYJ","0.1","0.8","0.0","0.1","0.8","0.0","0.0","0.2"
"Chris Moore","BAL","0.1","1.2","0.0","0.0","0.1","0.0","0.0","0.2"
"Jordan Watkins","SF","0.1","1.1","0.0","0.0","0.0","0.0","0.0","0.2"
"Trent Sherfield Sr.","BUF","0.1","1.0","0.0","0.0","0.0","0.0","0.0","0.2"
"Mecole Hardman Jr.","BUF","0.1","1.3","0.0","0.0","0.0","0.0","0.0","0.2"
"Emmanuel Henderson Jr.","SEA","0.1","1.3","0.0","0.0","0.0","0.0","0.0","0.2"
