"Player","Team","TACKLE","ASSIST","SACK","PD","INT","FF","FR","TD","FPTS"
"DaVon Hamilton","JAC","2.0","1.2","0.1","0.1","0.0","0.0","0.0","0.0","4.4"
"Zion Young","BAL","1.7","0.7","0.2","0.1","0.0","0.0","0.0","0.0","4.4"
"Samson Ebukam","ATL","1.6","0.8","0.2","0.1","0.0","0.1","0.0","0.0","4.4"
"Malachi Lawrence","DAL","1.6","0.8","0.2","0.1","0.0","0.1","0.0","0.0","4.4"
"Nnamdi Madubuike","BAL","1.5","0.8","0.2","0.2","0.0","0.1","0.0","0.0","4.4"
"Joseph Ossai","NYJ","1.5","1.0","0.2","0.1","0.0","0.1","0.0","0.0","4.3"
"Sheldon Rankins","HOU","1.7","1.0","0.2","0.0","0.0","0.0","0.0","0.0","4.3"
"Trevis Gipson","CAR","1.7","0.7","0.2","0.1","0.0","0.1","0.0","0.0","4.2"
"Poona Ford","LAR","1.9","1.1","0.1","0.1","0.0","0.0","0.0","0.0","4.2"
"Arik Armstead","JAC","1.5","0.9","0.3","0.0","0.0","0.0","0.0","0.0","4.2"
"Cameron Jordan","NO","1.6","0.7","0.2","0.1","0.0","0.1","0.0","0.0","4.2"
"Teair Tart","LAC","1.7","0.8","0.1","0.1","0.0","0.1","0.1","0.0","4.2"
"Roy Lopez","ARI","1.8","1.0","0.1","0.1","0.0","0.0","0.0","0.0","4.2"
"Sam Okuayinonu","SF","1.8","0.7","0.2","0.0","0.0","0.0","0.0","0.0","4.1"
"Patrick Jones II","CAR","1.7","0.8","0.2","0.0","0.0","0.0","0.0","0.0","4.1"
"Braden Fiske","LAR","1.4","0.8","0.3","0.1","0.0","0.0","0.0","0.0","4.1"
"Bobby Brown III","CAR","1.9","1.2","0.0","0.0","0.0","0.0","0.0","0.0","4.1"
"Josh Uche","MIA","1.3","0.6","0.3","0.1","0.0","0.0","0.0","0.0","4.1"
"Tyler Davis","LAR","1.8","1.1","0.1","0.1","0.0","0.0","0.0","0.0","4.0"
"Arden Key","IND","1.2","0.7","0.3","0.1","0.0","0.1","0.0","0.0","4.0"
"Barryn Sorrell","GB","1.5","0.8","0.2","0.1","0.0","0.0","0.1","0.0","4.0"
