"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Tank Bigsby","PHI","RB55","4.9","23.1","0.2","0.3","2.7","0.0","0.0","4.0"
"Andrei Iosivas","CIN","WR83","0.1","0.7","0.0","1.5","20.2","0.2","0.0","3.9"
"Braelon Allen","NYJ","RB56","4.6","18.7","0.2","0.7","5.1","0.0","0.0","3.8"
"Darnell Mooney","NYG","WR84","0.1","0.4","0.0","1.5","22.9","0.1","0.0","3.8"
"Oronde Gadsden II","LAC","TE33","0.0","0.0","0.0","1.7","21.0","0.1","0.0","3.7"
"Evan Engram","DEN","TE34","0.0","0.1","0.0","2.3","20.4","0.1","0.0","3.7"
"Tyquan Thornton","KC","WR85","0.0","0.0","0.0","1.3","21.7","0.1","0.0","3.7"
"Mason Taylor","NYJ","TE35","0.0","0.0","0.0","2.1","19.3","0.1","0.0","3.6"
"Jack Bech","LV","WR86","0.0","0.1","0.0","1.7","20.6","0.1","0.0","3.6"
"Ty Johnson","BUF","RB57","2.5","10.4","0.1","1.1","9.4","0.1","0.0","3.6"
"George Holani","SEA","RB58","3.7","14.7","0.1","0.9","6.4","0.0","0.0","3.6"
"Darnell Washington","PIT","TE36","0.0","0.0","0.0","1.8","19.0","0.1","0.0","3.5"
"Michael Mayer","LV","TE37","0.0","0.0","0.0","2.0","19.4","0.1","0.0","3.5"
"Isaac TeSlaa","DET","WR87","0.0","0.1","0.0","1.3","18.0","0.2","0.0","3.5"
"DeMario Douglas","NE","WR88","0.3","1.4","0.0","1.6","19.5","0.1","0.0","3.5"
"Xavier Legette","CAR","WR89","0.1","0.3","0.0","1.6","18.7","0.1","0.0","3.5"
"Jalen Tolbert","MIA","WR90","0.0","0.0","0.0","1.6","20.0","0.1","0.0","3.4"
"Jake Tonges","SF","TE38","0.0","0.0","0.0","1.8","17.8","0.1","0.0","3.4"
"Dawson Knox","BUF","TE39","0.0","0.0","0.0","1.6","17.9","0.1","0.0","3.4"
"Isaiah Davis","NYJ","RB59","2.9","13.3","0.1","1.0","7.6","0.0","0.0","3.4"
"Keon Coleman","BUF","WR91","0.0","0.1","0.0","1.4","19.0","0.1","0.0","3.4"
"Jonah Coleman","DEN","RB60","3.6","14.7","0.1","0.9","6.6","0.0","0.0","3.3"
"Omar Cooper Jr.","NYJ","WR92","0.1","0.6","0.0","1.4","18.9","0.1","0.0","3.3"
"Darius Slayton","NYG","WR93","0.0","0.3","0.0","1.4","19.9","0.1","0.0","3.3"
"Marvin Mims Jr.","DEN","WR94","0.5","2.3","0.0","1.5","16.3","0.1","0.0","3.2"
"KaVontae Turpin","DAL","WR95","1.0","6.4","0.0","1.0","13.8","0.1","0.0","3.2"
"Xavier Hutchinson","HOU","WR96","0.1","0.5","0.0","1.3","17.6","0.1","0.0","3.2"
"Kendrick Bourne","ARI","WR97","0.0","0.0","0.0","1.6","19.1","0.1","0.0","3.2"
"Cole Kmet","CHI","TE40","0.0","0.0","0.0","1.6","16.0","0.1","0.0","3.0"
"Theo Johnson","NYG","TE41","0.0","0.0","0.0","1.5","16.7","0.1","0.0","3.0"
"Sean Tucker","TB","RB61","3.4","15.2","0.2","0.2","1.4","0.0","0.0","3.0"
"Elijah Arroyo","SEA","TE42","0.0","0.0","0.0","1.4","16.4","0.1","0.0","3.0"
"Zachariah Branch","ATL","WR98","0.1","0.5","0.0","1.5","16.8","0.1","0.0","2.9"
"Ted Hurst III","TB","WR99","0.0","0.2","0.0","1.2","16.3","0.1","0.0","2.9"
"Noah Gray","KC","TE43","0.0","0.0","0.0","1.6","15.6","0.1","0.0","2.9"
"Tory Horton","SEA","WR100","0.0","0.1","0.0","1.2","15.9","0.1","0.0","2.9"
"Antonio Williams","WAS","WR101","0.1","0.7","0.0","1.3","15.6","0.1","0.0","2.9"
"Ray Davis","BUF","RB62","3.3","14.1","0.1","0.6","4.9","0.0","0.0","2.8"
"Emmett Johnson","KC","RB63","3.2","12.7","0.1","0.7","5.3","0.0","0.0","2.8"
"Charlie Kolar","LAC","TE44","0.1","0.3","0.0","1.4","15.0","0.1","0.0","2.8"
"Daniel Bellinger","TEN","TE45","0.0","0.0","0.0","1.4","15.1","0.1","0.0","2.7"
"Erick All Jr.","CIN","TE46","0.0","0.0","0.0","1.4","13.7","0.1","0.0","2.7"
"Jaydon Blue","DAL","RB64","3.3","13.4","0.1","0.5","3.4","0.0","0.0","2.6"
"Olamide Zaccheaus","ATL","WR102","0.1","0.6","0.0","1.3","13.8","0.1","0.0","2.6"
"Kendre Miller","NO","RB65","3.0","12.4","0.1","0.8","5.4","0.0","0.0","2.6"
"Will Kacmarek","MIA","TE47","0.0","0.0","0.0","1.4","13.6","0.1","0.0","2.6"
"Savion Williams","GB","WR103","0.5","2.0","0.0","1.1","12.0","0.1","0.0","2.5"
"Jaylen Wright","MIA","RB66","3.1","12.8","0.1","0.6","4.4","0.0","0.0","2.5"
"Kalif Raymond","CHI","WR104","0.2","1.1","0.0","1.2","13.1","0.1","0.0","2.5"
"Zach Charbonnet","SEA","RB67","2.9","12.3","0.1","0.5","3.2","0.0","0.0","2.5"
"Kevin Coleman Jr.","MIA","WR105","0.0","0.0","0.0","1.3","15.2","0.0","0.0","2.4"
"John Metchie III","CAR","WR106","0.1","0.3","0.0","1.2","12.1","0.1","0.0","2.4"
"Troy Franklin","DEN","WR107","0.1","0.5","0.0","1.1","12.6","0.1","0.0","2.4"
"Kaelon Black","SF","RB68","3.1","12.8","0.1","0.4","3.2","0.0","0.0","2.4"
"Chimere Dike","TEN","WR108","0.5","2.0","0.0","0.9","10.3","0.1","0.0","2.3"
"Najee Harris","NYG","RB69","2.7","10.8","0.1","0.5","3.6","0.0","0.0","2.3"
"Hollywood Brown","PHI","WR109","0.0","0.0","0.0","0.9","12.3","0.1","0.0","2.3"
"Elijah Higgins","ARI","TE48","0.0","0.0","0.0","1.3","11.7","0.1","0.0","2.2"
"Bryce Lance","NO","WR110","0.0","0.0","0.0","1.0","12.5","0.1","0.0","2.2"
"Colbie Young","CIN","WR111","0.0","0.0","0.0","1.0","11.6","0.1","0.0","2.2"
"Ollie Gordon II","MIA","RB70","2.7","9.9","0.1","0.5","3.0","0.0","0.0","2.2"
"Noah Fant","NO","TE49","0.0","0.0","0.0","1.2","10.8","0.1","0.0","2.1"
"Alvin Kamara","NO","RB71","2.6","9.9","0.1","0.6","4.0","0.0","0.0","2.1"
"Emari Demercado","KC","RB72","1.9","9.6","0.0","0.7","4.8","0.0","0.0","2.1"
"Zavion Thomas","CHI","WR112","0.1","0.4","0.0","0.9","10.7","0.1","0.0","2.1"
"Devontez Walker","BAL","WR113","0.0","0.1","0.0","0.8","11.7","0.1","0.0","2.1"
"Elic Ayomanor","TEN","WR114","0.0","0.0","0.0","0.8","11.9","0.1","0.0","2.1"
"Austin Hooper","ATL","TE50","0.0","0.0","0.0","1.1","11.0","0.1","0.0","2.1"
"LeQuint Allen Jr.","JAC","RB73","0.8","3.5","0.0","1.1","7.1","0.1","0.0","2.1"
"Joshua Palmer","BUF","WR115","0.0","0.0","0.0","0.9","12.1","0.1","0.0","2.1"
"Cyrus Allen","KC","WR116","0.0","0.0","0.0","0.9","11.3","0.1","0.0","2.0"
"Kimani Vidal","LAC","RB74","2.3","9.9","0.1","0.4","3.3","0.0","0.0","2.0"
