"Player","Team","TACKLE","ASSIST","SACK","PD","INT","FF","FR","TD","FPTS"
"Malik Harrison","PIT","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Willie Gay Jr.","MIA","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Damone Clark","DET","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jake Hansen","HOU","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Noah Sewell","CHI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Mohamoud Diabate","TEN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Patrick O'Connell","SEA","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jordan Magee","WAS","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jaylon Carlies","IND","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Darius Muasau","NYG","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Isaiah Stalbird","NO","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Harold Perkins Jr.","ATL","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"John Bullock","TB","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Branson Combs","JAC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Easton Mascarenas-Arnold","CLE","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jordan Turner","DEN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Julian Okwara","CLE","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Azeez Ojulari","ATL","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Chris Rumph II","NO","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Tyreke Smith","KC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"James Houston","DAL","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jose Ramirez","PHI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Caleb Murphy","NYG","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Adisa Isaac","BAL","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
